X,Y,OBJECTID,CONTACT,ROOM,ZIP,PHONE,FAX,NAME,ADDRESS,WEB_URL,GIS_ID,TYPE,ADDRESS_ID
-76.942887588627841,38.892491286088394,1,Cmdr  Robin Hoey, ,20019,(202) 698-0880,(202) 398-5397,District 6 (6D),100 42ND STREET NE,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,pol_1,Station,294469
-76.968710964213201,38.872371542255159,2,Insp  Alton Bigelow, ,20019,(202) 698-2088,(202) 584-5397,District 6 Substation (6D-1),2701 PENNSYLVANIA AVENUE SE,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,pol_2,Substation,45427
-77.037973103870129,38.917875062936062,3,Cmdr  Larry McCoy, ,20009,(202) 673-6815,(202) 518-0008,District 3 (3D),1620 V STREET NW,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,pol_3,Station,241847
-77.025636486243002,38.932679088943949,4,Insp  Diane Groomes, ,20010,(202) 576-8222,(202) 576-3350,District 4 Substation,750 PARK ROAD NW,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,pol_4,Substation,233054
-77.016562621211833,38.922189194082989,5,Off Myra Jordan, ,20009,(202) 671-3550, ,Deaf and Hard Hearing Liaison Unit,310 MCMILLAN DRIVE NW,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,pol_5,,299642
-76.973642327601368,38.915085047336433,6,Cmdr  Jennifer Gree, ,20002,(202) 698-0150,(202) 727-8727 ,District 5 (5D),1805 BLADENSBURG ROAD NE,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,pol_6,Station,286486
-76.999242976217786,38.883375432072995,7,Insp  Andrew Solberg, ,20003,(202) 698-0068,(202) 543-2352,District 1 Substation (1D-1) ,500 E STREET SE,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,pol_7,Substation,289645
-77.042867182035593,38.92216718971406,8,Sgt  Juan Espinal, ,20009,(202) 673-4445, ,Latino Liaison Unit,1800 COLUMBIA ROAD NW,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,pol_8,,235413
-77.020835671881926,38.89955558844359,9,Sgt Kenny Temsupasiri, ,20001,(202) 724-8009,(202) 727-9422,Asian Liaison Unit,616 H STREET NW,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,pol_10,,295093
-76.959687849399657,38.86977606667309,10,"Carla Okonkwo, Supervisor", ,20020,(202) 645-9629, ,Family Liaison Specialist Unit,3244 PENNSYLVANIA AVENUE SE,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,pol_12,,302990
-77.012911268898819,38.876790667686514,11,Cmdr  Thomas McGuire, ,20024,(202) 698-0555,(202) 727-8503,District 1 (1D),101 M STREET SW,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,pol_13,Station,152387
-77.027413279530762,38.963133248626761,12,Cmdr  Hilton Burton, ,20011,(202) 715-7400,(202) 722-1791,District 4 (4D),6001 GEORGIA AVENUE NW,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,pol_14,Station,243485
-77.016540537191418,38.894145941370603,13,Sgt  Brett A  Parso/Ofc Joe Morquecho,Room 5125,20001,(202) 727-5427,(202) 727-4406,Gay and Lesbian Liaison Unit,300 INDIANA AVENUE NW,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,pol_15,,279642
-77.074840366625921,38.934853623290003,14,Cmdr  Robert J  Con, ,20016,(202) 715-7300,(202) 364-3961,District 2 (2D),3320 IDAHO AVENUE NW,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,pol_18,Station,222229
-76.969523668272728,38.853363543136304,15,Cmdr  Joel Maupin, ,20020,(202) 698-1500,(202) 889-3574,District 7 (7D),2455 ALABAMA AVENUE SE,http://mpdc.dc.gov/page/police-districts-and-police-service-areas,pol_19,Station,278162
